,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
139,1482.709,3133.209,125.792,521.542,11.666,3454.583,4000.625,5562.583,516.833,941.625,28.333,1787.958,0.25,1735.125,0.25,1658.125
140,1505.042,3137.583,125.875,513.875,11.708,3469.584,4032.25,5562.875,526,919.375,28.041,1846.333,0.25,1761.25,0.208,1684.958
141,1644.375,3134.75,125.833,513.792,11.75,3485.917,3999.541,5628.333,548.25,920.5,27.917,1809.917,0.25,1707.292,0.208,1800
142,1571.5,3239.208,125.834,514,11.667,3485.583,3927.208,5529.958,544.75,932.583,28.125,1746.75,0.208,1723.167,0.209,3934.333
143,1519,3086.541,125.958,513.833,11.708,3467.833,4446.166,5512.375,544.834,920.708,31.167,1764.209,0.208,1755.833,0.209,2272.833
144,1580.375,3142,125.875,514.083,11.708,3461.875,4094.166,5548.209,515.5,948.625,28.333,1761.042,0.25,1754.75,0.209,1694.625
145,1638.917,3075,126.125,513.792,11.75,3525.916,4224.042,5674.416,520.917,927.5,28.417,1761.959,0.25,1755.333,0.209,1589.666
146,1498.833,3207.667,125.75,513.667,11.666,3480.292,4188.25,5504.875,516.416,918,28.125,1802.375,0.208,1753,0.209,1737.667
147,1902.458,3162.459,125.75,514,11.667,3455.917,4018.25,5551.042,529.583,953.833,28.375,1766.542,0.208,1718.917,0.209,4408.084
148,1496.042,3157.334,125.833,513.792,11.667,3504.125,3932.625,5669.917,523.583,963.041,28.25,1773.875,0.208,1743.292,0.208,1683.959
149,1658.709,3169.292,126,513.834,11.667,3445.792,3892.625,5496.833,525.417,947.5,28.166,1786.959,0.25,1745.125,0.208,1743.875
150,1507,3265.667,125.959,513.667,11.792,3500.5,3896.792,5481.583,530.5,927.75,28.333,1761.042,0.25,1810.166,0.208,1592.583
151,1628.875,3515.291,129.375,531.375,11.75,3573.125,3941.625,5713.459,532.583,919.291,27.75,1739.041,0.25,1706.042,0.208,1586.958
152,1595.458,3122.625,142.666,520.416,11.708,3464.833,3946.791,5664.583,530.834,954.25,28.209,1734.5,0.208,1802.042,0.208,1725.25
153,1557.5,3243.583,125.709,513.708,11.667,3527.292,4170.458,5666.417,530.792,921.958,28.084,1828.833,0.25,1707.416,0.25,1631.75
154,1503.333,3133.834,125.791,514.083,11.709,3481.25,3960.166,5550.25,516.375,927,27.916,1814.084,0.209,1735.667,0.208,1674.375
155,1503.333,3255,125.709,513.792,11.833,3485.792,4014.291,5645.208,532.416,942.291,28.333,1902.292,0.209,1736.75,0.208,1625.875
156,1528.208,3123.25,125.916,513.833,11.834,3518.667,3911.209,5664.166,528.625,921.25,27.833,1772.416,0.25,1805.458,0.208,1623.916
157,1515.375,3219.125,126.125,513.833,11.834,3468.459,3949.5,5584.25,531.209,934.25,28.042,1799.084,0.25,1706.541,0.208,1680.917
158,1652.458,3127.916,134.292,513.625,11.667,3509.625,3906.958,5562.625,533,940.584,28.458,1790.459,0.25,1708.708,0.208,1647.542
159,1675.667,3179.541,125.833,513.875,11.709,3484.375,3946.417,5455.292,531.458,944.583,28.084,1796.875,0.208,1769.917,0.208,1615.042
160,1542.625,3080.167,125.875,513.792,11.666,3442.166,3925.75,5549.459,526.584,930.584,28.25,1787.041,0.208,1716.792,0.25,1624.792
161,1788.459,3086.583,125.792,513.875,11.708,3570.958,4040.833,5508.041,528.333,920.959,27.875,1897.583,0.25,1707.958,0.25,1703.75
162,1504.792,3255.083,125.75,513.917,11.709,3525.875,3908.75,5610.084,537.709,924.333,28.167,1734.208,0.208,1711.834,0.209,1612.542
163,1580.958,3391.959,129.291,527.958,11.708,3486.208,4273.125,5598.083,518.542,970.458,27.667,1849,0.208,1729.833,0.292,1647.042
164,1575.792,3127.709,129.375,513.833,11.708,3509.125,3879.584,5630.875,514.583,920.208,28,1776,0.25,1706.25,0.208,1605.042
165,1525.417,3180.083,125.709,513.916,11.667,3433.959,4089.75,5512.333,517.167,918.458,28.208,1806.625,0.25,1751.833,0.25,1621.5
166,1764.708,3249.5,133.375,514.084,11.791,3467.125,4062.541,5562.791,531.5,943.416,28.25,1828.333,0.25,1779.875,0.208,1650.875
167,1529.042,3094.167,125.625,519,11.625,3508.125,3957.75,5534.5,546.583,953.125,27.792,1760.083,0.209,1724.541,0.208,1713.584
168,1513.708,3345.834,133.917,513.708,11.625,3474.167,3960.958,5615.583,534.458,1088.125,28.209,1742.084,0.209,1722.25,0.208,1671.208
169,1602.958,3148.041,125.583,520.333,11.625,3539.042,3950.292,5537.042,525.208,947.75,27.666,1778.292,0.25,1728,0.208,1686
170,1690.5,3115.75,133.208,514.084,11.75,3500.209,3914.792,5647.583,524.042,961.958,28.208,1761.333,0.25,1706.667,0.209,1612.375
171,1596.041,3114.75,125.583,513.625,11.667,3486.959,3974.875,5577.667,556.5,928.125,27.709,1804.042,0.25,1712.625,0.209,1625.625
172,1512.875,3428.875,125.625,513.625,11.75,3523.25,4319.875,5754.958,516.25,980.917,28.25,1775.084,0.208,1724.167,0.209,1736.959
173,1519.542,3107.042,130.709,513.792,11.709,3481.417,4026.75,5727.583,531.625,954.541,28.25,1763.292,0.208,1719.958,0.209,1986.916
174,1484.667,3198.666,125.541,513.875,11.709,3525.917,4017.958,5661.042,518.875,919.458,27.875,1763.792,0.208,1745.417,0.208,1728.208
175,1531.833,3405.542,129.5,520.542,11.708,3603.833,4004.334,6050.625,518.667,1047.542,28,1748.708,0.208,1708.292,0.208,1621.333
176,1564.417,3311.875,135.625,513.875,11.666,3504.667,3896.25,5586.708,516.125,1009.916,28.167,1781.417,0.25,1745.958,0.209,1607.666
177,1726.417,3249.708,125.709,513.916,11.708,3640.416,3969.125,5987.792,514.5,958,27.958,1776.375,0.25,1708.375,0.25,1589.917
178,1545.083,3159.125,125.709,513.834,11.625,3527.25,4211.5,5897.041,526.125,999.167,27.709,1798.709,0.25,1747.833,0.25,1590
179,1481.042,3246.959,132.166,514.125,11.667,3544.833,3903.917,5759.417,515.041,951,28.166,1752.125,0.25,1707.5,0.209,1632.125
180,1678.458,3229.916,136.625,514.083,11.709,3500.583,3930.791,5849.084,529.625,942.041,28.209,1771.375,0.25,1706.667,0.209,1760.958
181,1541.333,3101.541,129.958,513.958,11.792,3507.416,4206.917,5550.667,540.792,978.792,28.167,1773.291,0.25,1706.167,0.209,1688.875
182,1528.667,3333.959,140.25,528.042,11.708,3508.583,4119.666,5680.333,515.375,964.75,27.916,1782.916,0.208,1706.167,0.25,1647.5
183,1480.708,3062.458,137.333,514,11.667,3569.209,4299.958,5726.875,518.042,950.917,28.291,1777.083,0.208,1721.875,0.208,1722.541
184,1588.291,3115.792,134.167,513.792,11.708,3517.584,3865.792,5859.541,519,919.958,28.084,1777.208,0.208,1720.083,0.208,1695.25
185,1513.292,3166.041,125.667,513.833,11.75,3509.834,3998.625,5734.209,514.417,960.875,27.958,1734.791,0.25,1707.333,0.208,1757.792
186,1807.5,3113.167,125.75,513.875,11.667,3558.125,3985.666,5521.792,515.125,969.917,28.291,1777.084,0.25,1721.917,0.208,1737.708
187,1588.666,3067.916,125.459,513.791,11.666,3538.75,4281.792,5777.5,519.875,948.833,28,1771.833,0.25,1708.333,0.208,1660.333
188,1598.125,3461.334,125.75,515.834,11.667,3487.625,3946.917,5585.25,515.542,930.75,29.917,1756.5,0.25,1723.416,0.208,1743.667
189,1770.583,3143.083,129.916,513.875,11.708,3549.333,4004.459,5668.959,514.542,945.5,28.083,1783.208,0.209,1740.875,0.25,1866.041
190,1546.708,3260.083,125.792,514.041,11.708,3519.708,3920.291,5580.25,521.041,950.208,28.208,1768.875,0.209,1707.417,0.209,1665.291
191,1718.708,3154.75,128.958,513.834,11.667,3465.375,4099.5,5689,518.917,935.542,28,1734.833,0.209,1723.208,0.209,1672.334
192,1545.667,3163.667,125.584,529.959,11.667,3522.417,4015.834,5584.375,526.667,961.625,28.292,1752.458,0.209,1909.625,0.25,1704.083
193,1607.042,3184.167,125.625,513.792,11.667,3508.583,4003.958,5705.458,525.75,959.458,27.916,1771.666,0.25,1859.25,0.209,1727.75
194,1512.042,3163.083,125.541,514,11.667,3510.042,4018.166,5734.917,518.25,918.292,28.209,1771.083,0.208,1822.959,0.208,1675.667
195,1575.375,3292.333,125.584,513.958,11.709,3455.167,3945.125,5871.209,524.75,962.042,28.292,1734.542,0.208,1815.459,0.208,2021.167
196,1588.833,3250.125,125.583,528.25,11.709,3470.375,3937.833,5669.291,526.959,929.042,28,1737.167,0.208,1861.084,0.208,1737.042
197,1508.791,3130.708,132.917,513.667,11.958,3466.125,3919.334,5634.916,526.792,959.916,28.125,1734.125,0.208,1706.875,0.208,1702.542
198,1536.042,3398.166,125.709,513.75,11.666,3425.25,3908.167,6017.209,525.75,929.917,28.041,1764.542,0.25,1810.75,0.208,1738.417
199,1529.125,3070.375,125.75,513.917,11.958,3475.416,4170.792,5600,532.417,936.791,27.75,1738.791,0.25,1722.583,0.208,1660.833
200,1646,3523.958,125.75,564.25,11.75,3502.167,4014,5766.334,532.083,933.667,28.083,1788.792,0.25,1808.833,0.208,1703.875
201,1594.875,3169,125.541,514.208,11.875,3446.5,3927.958,5572.417,542.417,938.792,27.917,1794,0.25,1711.75,0.25,1689.959
202,1474.958,3104.667,125.667,514,11.709,3513.458,4011.375,5675.666,526.875,971.708,28,1785.5,0.25,1709.708,0.25,1669.25
203,1518.208,3515.584,129.042,513.959,11.625,3494.916,3970.375,5642.542,525.125,927.917,27.75,1734.125,0.208,1706.542,0.25,1646.333
204,1511.042,3402.208,130.833,513.959,11.667,3510.042,4117.458,5523.625,516.25,924.75,27.833,1741.25,0.25,1845.708,0.208,1745.25
205,1681.916,3203.625,125.75,528.167,11.792,3484.875,3942.459,5577.708,518.959,992.25,28.375,1797.833,0.25,1842.25,0.208,1622.541
206,1607.584,3139.417,129.083,513.625,11.75,3524.25,4000.958,5601.333,516.458,960.375,28.292,1744.5,0.25,1848.292,0.208,1690
207,1492.041,3242.875,125.667,531.334,11.709,3544.917,3950.375,5783.041,523.5,932.583,28.209,1808.709,0.25,1784.833,0.25,1623.75
208,1547.917,3150.5,125.75,543.083,11.625,3462.917,3978.083,5576.625,526.166,940.5,27.958,1739.125,0.209,1807.875,0.209,1723.25
209,1559.458,3100.041,125.667,578.459,11.75,3498,3938.125,5530.958,549.292,920.166,27.542,1736.875,0.25,1865.5,0.208,1590.166
210,1614.666,3284.834,125.791,523.708,11.667,3517.792,4152.667,5481.834,551.417,928.208,27.834,1734.375,0.208,1812.25,0.209,1698.667
211,1782.959,3071.25,125.667,519.625,11.708,3523.584,3951.959,5570.791,518,940.583,27.75,1749.041,0.208,1811.708,0.209,1686.416
212,2092.459,3155.417,130.375,515,11.708,3481.708,4022.833,5603.542,532.916,926.917,28.167,1790.084,0.25,1710,0.209,1665
213,1495.541,3219.75,125.625,513.666,11.75,3475.125,4018.209,5709.209,525.375,947.125,28.125,1734.708,0.25,1874.375,0.209,1639.834
214,1636.583,3314.958,125.541,514,11.75,3461.375,4114.417,5761.416,516.75,929.791,27.834,1734.542,0.25,2060.25,0.208,1671.583
215,1840.333,3582.416,125.667,513.709,11.667,3483.833,3943.625,5691,516.917,919.916,27.958,1793.375,0.208,1820.333,0.208,1720.291
216,1672.167,3083.166,125.625,515.541,11.75,3462.542,4119.375,5686.667,548.417,1120.417,28.083,1766.792,0.25,1784.417,0.208,1667.625
217,1508.583,3094.542,125.792,514.042,11.667,3483.291,4000.958,5692.583,535.083,934,27.541,1737.125,0.25,1779.542,0.208,1598.458
218,1577.792,3647.25,125.709,513.75,11.625,3589.25,3915.375,5947.625,534.709,952.542,28.083,1776.917,0.25,1783.625,0.208,1682.75
219,1590.375,3125.666,125.75,513.792,11.667,3558.875,3900.041,5595.375,547.708,926.625,28.209,1766.958,0.25,1796.583,0.208,1642.5
220,1970,3301.625,130.416,523.625,11.75,3509.375,3939.125,5566,518.125,965.041,27.875,1770.5,0.208,1747.792,0.208,1639.541
221,1545.542,3270.458,125.917,515.583,11.625,3494.334,4007.042,5675.208,519,934.833,27.875,1783.875,0.208,1780.208,0.25,1681
222,1555.625,3180.417,125.625,513.875,11.75,3537.167,3933.125,5583.083,518.334,924.333,28.167,1759.708,0.208,1741.125,0.209,2068
223,1546.959,3126.25,129,533.083,11.708,3566.708,3906.666,6184.25,516.708,934.833,27.709,1734.541,0.208,1732.292,0.209,1686.208
224,1509.708,3144.958,125.459,513.917,11.666,3493.417,4044.25,5550.125,514.167,936.458,28.084,1757.917,0.208,1763.833,0.208,1752.125
225,1660.75,3236.041,125.75,513.917,11.917,3468.833,3921.625,5642.459,531.958,930,27.708,1776.917,0.25,1716.542,0.208,1741.792
226,1649.75,3304.291,125.5,513.875,11.917,3568.5,3995.167,5533.917,534.167,925.042,27.875,1780.5,0.25,1730.834,0.208,1757.125
227,1505.625,3197.667,125.792,513.792,11.625,3468.542,4126.667,5566.959,529.459,948.375,28.292,1749.292,0.25,1709.375,0.208,1849.375
228,1506.917,3419.458,138.458,530.458,11.917,3484.708,4223.5,5500.625,529.167,941.417,27.792,1759.75,0.25,1722.041,0.25,1664.125
229,1886.083,3181.083,125.75,513.833,11.75,3490.042,3956.625,5586.667,534.083,928.916,35.25,1734.833,0.209,1729.541,0.25,1649.25
230,1517.25,3091.584,125.75,529.167,11.75,3470.459,4068.667,5563.25,526.083,934.041,28.208,1793.25,0.209,1726.042,0.208,2797.667
231,1638.708,3096.292,125.792,513.791,11.625,3511.708,3977.333,5530.708,518.583,919.542,28.166,1760.667,0.209,1736.625,0.208,1672.375
232,1772.708,3412.667,125.5,518.792,11.792,3546.125,3900.375,5565.291,516.5,935.584,27.792,1739.542,0.209,1721.708,0.208,1799
233,1529.209,3084.458,128.875,517.959,11.625,3475.375,3922.5,5645.167,516.209,921.042,28.291,1769.125,0.208,1736.667,0.208,1709.166
234,1581.709,3132.375,125.666,514.083,11.666,3506.5,3920.875,5561.416,538,919.875,28,1767.042,0.208,1744.708,0.25,1640.875
235,1495.541,3091.709,125.542,514,11.875,3462.792,4095.25,5552.167,539.042,932.667,28.125,1753.125,0.25,1738.417,0.209,1637.917
236,1542.709,3114.542,133.375,513.917,11.708,3505.5,4086.875,5534.167,527.875,927.834,28.125,1787.459,0.25,1744.375,0.209,1636
237,1791.584,3170.584,129.125,513.75,11.875,3499.5,3919.125,5460.25,554.334,966.084,28.084,1750.708,0.25,1761.042,0.209,1633.625
238,1552.667,3353.458,125.916,513.791,11.75,3476.417,4068,5528.541,531.792,1027.292,27.541,1794.167,0.25,1742.208,0.25,1636.167
239,1680,3128.542,141.375,513.792,11.75,3448.417,4148.625,5687.041,521.042,923.875,27.959,1788.75,0.208,1746.75,0.208,1600.792
240,1536.459,3688.333,125.958,522.291,11.625,3438.666,3900.625,5725.042,526.666,920.459,28.083,1734.917,0.208,1747.625,0.208,1642.583
241,1498.084,3130.334,125.959,513.833,11.75,3465.416,4055.459,5580.875,518.583,918.083,27.875,1757.291,0.25,1769.125,0.208,1634.334
242,1517.458,3289.375,129.084,513.833,11.708,3487.292,3945.666,5618.209,516.333,920.125,27.666,1741.542,0.25,1728.792,0.208,1711.667
243,1523.375,3163.875,132.875,513.875,11.75,3453.167,4065.459,5864.25,517.167,946.209,27.917,1816.417,0.25,1744,0.25,1717.083
244,1703.333,3172.042,125.833,531.042,11.667,3487.042,4036.625,5623.042,549.958,938.791,27.875,1760.334,0.208,1738.666,0.208,1739.291
245,1576.458,3103.291,125.667,513.833,11.709,3474.333,3951.833,5667.333,517.167,923.709,28.5,1747.125,0.208,1726.209,0.208,1749.625
246,1554.416,3699.292,125.459,513.959,11.708,3463.917,4048.666,5631.166,529.292,932.25,27.792,1739,0.208,1725.625,0.208,1711.084
247,1517.292,3246.958,125.666,513.666,11.709,3477.041,3982.583,5657.667,518.083,924.875,28.25,1767.125,0.25,1774.417,0.208,1646.25
248,1513.125,3237.25,125.584,514.584,11.75,3435.584,3914.75,5770.458,518.042,937.5,28.208,1826.125,0.25,1730.167,0.209,1882.708
249,1478.708,3345.042,125.708,513.791,11.709,3447.625,3993.291,5652.625,527.167,946.083,28.083,1794.5,0.25,1737.792,0.25,1662.25
250,1519.333,3190.084,125.666,514.041,11.625,3484.291,3937.917,5649.375,525.125,937.209,28.083,1749.292,0.25,1723.833,0.209,1589.917
251,1589.5,3200.25,125.834,528.042,11.708,3466.667,3963.75,5588.167,526.291,926.25,28.041,1744.542,0.25,1714.208,0.209,1634.25
252,1567.333,3227.792,125.541,513.916,11.709,3442.709,3920.917,5583.833,516.458,918.75,31.458,1734.667,0.209,1718,0.209,1604.334
253,1518.791,3129.791,129.209,515.042,12.542,3459.666,4175.625,5846.708,516.792,920.458,28,1734.041,0.209,1731.375,0.209,1665.292
254,1493.75,3145.375,125.709,513.917,11.666,3479.958,4036.959,5697.125,516.208,917.875,27.75,1751.667,0.209,1736.125,0.25,1661.417
255,1806.458,3177.167,125.583,513.791,11.708,3501.042,3957.625,6068.167,545.792,921.875,28,1756.792,0.25,1733.25,0.208,1635.209
256,1580.541,3137.042,125.75,513.75,11.708,3466.542,3879.875,5615.958,526.75,922.75,27.833,1734.375,0.25,1721.791,0.208,1633.625
257,1575.625,3669.334,132.292,513.833,11.708,3480.25,4057.042,5546.292,526.125,921.875,27.959,1775.125,0.25,1718.167,0.208,1686.417
258,1565.25,3214.208,125.666,513.833,11.666,3442.958,4022.083,5574.125,525.125,942.083,28.125,1733.958,0.25,1724.459,0.208,1747.625
259,1479.916,3152.917,134.458,546.709,11.666,3463.125,4305.25,5562.041,519.875,938.417,27.875,1838.375,0.208,1706.292,0.208,1610.542
260,1556.125,3214.25,125.875,520.75,11.708,3481.542,3968.125,5555.375,517.334,923.042,27.916,1876.041,0.208,1707.375,0.208,1594.916
261,1577.125,3174.333,125.792,525.208,11.834,3449.625,3902.084,5706.875,514.25,969.292,28.208,1817.25,0.208,1737.958,0.208,1591.334
262,1653.625,3192.667,129.167,530.583,11.833,3462.125,4128.125,5649.875,517.167,960.708,27.875,1826.459,0.25,1718.625,0.208,1863.5
263,1773.5,3286.167,125.625,524.458,11.75,3462.166,3980.292,5537.167,531.25,944.666,28.375,1808.583,0.25,1708.542,0.208,1911.792
264,1761.25,3228.75,125.75,513.625,11.667,3498.708,4034.042,5612.375,530.042,948.625,27.792,1816.75,0.25,1813.292,0.209,1687.292
265,1521.875,3205.125,125.75,514,11.917,3484.375,3905.042,5817.292,523.375,942.291,31.667,1782.834,0.25,1744.792,0.25,1807.291
266,1542.458,3226.416,129,514,11.75,3460.292,4178.542,5542.584,527.709,920.333,28.292,1861.25,0.208,1738.833,0.209,1773.791
267,1494.625,3126.416,130.625,542.167,11.875,3503.375,4149.209,5617.834,518.625,997.459,37.5,1775.959,0.208,1807.542,0.209,1656.167
268,1579.167,3169.584,125.625,547.584,11.708,3478.583,4252.417,5611.209,526.625,924.875,35.334,1778.5,0.25,1726.042,0.209,1921.208
269,1517.75,3168.709,125.542,513.833,11.667,3461.083,4157.041,5817.625,516.833,920.333,28.084,1841.042,0.25,2041.958,0.209,1671.917
270,1482,3485.5,125.875,521.959,11.709,3572,4330.542,5588.541,516.042,932.5,27.917,1816.5,0.25,1821.042,0.209,1638.334
271,1517.084,3378.917,129.042,520.625,11.667,3536.792,4116.417,5610.792,515.417,965.875,27.583,1748.083,0.208,1914.125,0.25,1628.458
272,1578.791,3241.583,125.583,516.958,11.667,3459,4247.792,5627.625,527.667,960.166,28.084,1791.292,0.208,1854.709,0.208,1584
273,1917.667,3184.5,125.542,520.209,11.667,3537.584,4287.542,5658.709,528.959,922.833,28.334,1739.125,0.209,1858.208,0.25,1634.375
274,1538.416,3453.458,125.75,517.25,11.666,3483.333,4182.416,5645.583,537.625,952.708,37.083,1745.167,0.209,1794.291,0.209,5478.417
275,1599.417,3115.125,133.083,513.916,11.708,3491.834,3985.333,5533.416,528.583,973.833,31.875,1769.042,0.209,1764,0.25,1671.209
276,1600.292,3169.709,125.542,538.333,11.75,3460,4013.75,5565.375,536.458,931.792,28.125,1790.917,0.25,1791.583,0.25,1673.25
277,1569.75,3122.958,125.709,513.875,11.667,3484.333,3929.125,5600.417,526.042,988.916,28.083,1803.875,0.25,1719.459,0.208,1694.375
278,1706.25,3133.625,125.75,513.833,11.708,3489.625,4127.292,5581.459,526.125,927.125,28,1754.125,0.25,1857.334,0.208,1685.209
279,1661.625,3192.125,125.709,513.833,11.709,3472.084,4227.5,5488.208,518.167,960.792,28.041,1799.458,0.208,1934.5,0.208,1721.459
280,1562.709,3706.25,125.75,513.834,11.666,3490.167,4125.5,5541.708,516.25,932.417,28.209,1781.291,0.208,1706.167,0.208,1675.833
281,1553.792,3150.166,129.25,513.792,11.667,3453.833,4117.125,5597.958,516.125,935.375,28.041,1814.416,0.208,1707.916,0.208,1588.125
282,1682.833,3093.5,125.542,539.083,11.75,3461.041,4321.167,5522.792,517.25,932.208,27.916,1764.375,0.208,1799.791,0.25,1585.708
283,1691.542,3485.833,130.292,540.375,11.75,3532,4121.209,5486.917,559.5,937.208,28.084,1785.041,0.25,1780.416,0.209,1722.875
284,1542.291,3246.541,129.25,517.75,11.708,3522.75,4260,5851.167,522.042,931.417,28.167,1763.208,0.25,1835.375,0.209,1799.083
285,1556.458,3244.25,125.541,520.791,11.792,3443.791,4057.958,5452.375,516.958,951.542,28.292,1779.334,0.25,1721.208,0.209,1716.875
286,1499.292,3174.084,125.834,546.166,11.667,3521.083,4047.375,5459.625,518.959,970,27.875,1771,0.25,1760.458,0.25,1630.084
287,1486.25,3148.75,125.583,518.375,11.666,3490.417,4123.5,5757.75,517.833,958.167,34.708,1763,0.209,1854.042,0.208,1596.375
288,1532.25,3212.625,125.708,513.875,11.709,3471.416,4215.417,5531.167,518.208,921.083,28.042,1753.959,0.209,1775,0.208,1636.125
289,1530.167,3212.542,125.917,549.916,11.625,3509.667,3871.542,5566.25,517.333,964.041,34.75,1772.917,0.208,1749.791,0.208,1682.458
290,1924.833,3146.75,125.666,529.5,11.625,3533.291,4000.334,5550.333,517.917,939.917,27.958,1765.667,0.25,1785.792,0.208,1708
291,1494.333,3375.833,125.875,527.75,11.709,3448.708,3867.25,5577.833,526.583,922.334,27.875,1780.959,0.25,1798.208,0.208,1670.667
292,1605.792,3180.167,125.834,513.875,11.709,3502.208,3993.667,5531.292,520.792,950.75,28.125,1760.25,0.25,1753.25,0.25,1771.042
293,1590.5,3128.959,125.625,522,11.708,3499.541,4270.041,5535.584,542.458,936.583,27.834,1754.708,0.208,1762,0.25,5404
294,1518.916,3133.291,129.292,514.167,11.75,3465.542,3945.208,5944.792,525.75,935.833,27.75,1770.958,0.208,1821.209,0.208,4335.125
295,1503.667,3131.959,125.917,533.041,11.709,3471.917,4063.333,5666.958,528.916,967.208,28.042,1762.292,0.208,1838.708,0.208,4741.959
296,1503.958,3324.666,125.875,514.042,11.667,3496.542,4028.167,5746.167,517.75,964.416,27.875,1766.416,0.25,1815.208,0.208,1702.125
297,1508.708,3380.042,137.542,526.875,16.75,3499.5,4109,5615.958,527.125,939.916,28.291,1783.709,0.209,1839.75,0.208,1800.875
298,1480.875,3183.416,134.458,534.833,11.708,3502.208,3943.833,5512.209,516.083,918.791,28.084,1744.292,0.25,1807.541,0.208,1755.875
299,1492.375,3219.292,125.75,525.5,11.667,3556.333,4058.625,5778.792,524.708,954.333,28.25,1747.333,0.25,1844.584,0.208,1592.083
300,1640.458,3319.667,129.167,526.5,11.708,3495.375,4267.875,5725.125,516.291,957.583,28,1745.125,0.25,1833.292,0.208,1592.834
301,1566.791,3251.541,125.583,514.041,11.667,3463.334,3975.167,5574.667,516.667,964.083,27.958,1747.791,0.25,1708.667,0.25,1633.25
302,1562.958,3257.333,125.333,521.625,11.667,3465.625,4070.125,5737.916,528.208,919.792,28.167,1746.75,0.208,1855.916,0.209,1633.792
303,1571.792,3277.791,125.75,539.333,11.708,3536.709,4105.041,5652.625,529.333,920.667,27.958,1752.583,0.208,1853.541,0.209,1705.208
304,1527.75,3269.209,125.792,521.667,11.709,3447.417,3935.208,5516.083,547.125,920.375,28.125,1768.625,0.25,1887.375,0.209,1684.959
305,1516.291,3391.708,129,538.625,11.75,3518.625,4374.792,5540.584,521.75,922.541,28.333,1756.083,0.25,1749.875,0.209,1591.541
306,1521.583,3458.917,125.584,521.083,11.667,3511.958,4015.25,5541.334,527.625,916.709,28.25,1749.75,0.25,1866.917,0.209,1593.417
307,1678.875,3286.083,125.791,513.833,11.708,3458.75,3918.833,5685.334,524.209,921.667,27.833,1747.459,0.25,1754.542,0.209,1730.375
308,1487.75,3407.458,125.709,513.833,11.625,3466.417,4114.125,5544.125,526.041,918.542,28.125,1753.5,0.209,1826.375,0.209,1655.291
309,1749.416,3107.125,125.75,519.375,11.666,3488.875,4013.834,5653.083,516.75,920.459,27.583,1765.292,0.209,1757.667,0.208,1721.292
310,1709.792,3361.5,125.708,528.625,11.75,3536.375,3914.291,5695.708,531.833,920.5,27.625,1734.667,0.25,1991.625,0.208,1600.291
311,1517.708,3233.375,125.667,513.875,11.708,3442.875,3951.5,5739.709,527.459,919.75,28.333,1737.959,0.25,1718.542,0.208,1706.458
312,1712.292,3166.375,133.541,513.917,11.667,3495.125,3909.541,5528.417,537,918.542,28.292,1742.541,0.25,1718.667,0.25,1646.041
313,1541.166,3611.542,132.25,537.208,11.75,3596.208,4145.083,5617.083,526.083,941.166,28.25,1747.167,0.25,1881.584,0.208,1893.416
314,1633.792,3146.542,129.334,530.916,11.833,3443.208,3979.916,5632.041,526.167,920.125,28.292,1767.792,0.25,1902.458,0.208,1597.584
315,1559.125,3138.125,125.708,513.958,11.834,3518.459,3929.25,5610.666,526.125,984.375,28.375,1774.458,0.208,1783.792,0.208,1602.792
316,1679.709,3134,125.583,513.875,11.667,3470,4136.584,5978.875,523.292,921.5,27.959,1747.917,0.208,1843.167,0.25,1629.542
317,1600.75,3260.666,125.709,518.5,11.708,3464.458,4094.208,5755.292,518.25,919.875,27.833,1746.541,0.208,1752.708,0.208,1645.083
318,1570.375,3642.417,133.541,528.959,11.625,3518.875,4249.542,5459.458,517.917,921.667,27.709,1749.25,0.208,1735.25,0.208,1643.208
319,1606.541,3184.541,126.167,513.916,11.708,3516,3999.083,5651.75,521.5,922.084,28.125,1734.292,0.208,1803.541,0.208,1736.166
