,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
34,1926.5,3124.709,125.75,517.125,11.708,3572.083,3895.25,5554.542,525.167,921,27.75,1739,0.208,1779.708,0.208,1602.084
35,1748.958,3198.375,125.709,513.833,11.667,3503.041,3943.459,5790.542,541.083,927.292,27.959,1751.25,0.208,1724.916,0.208,1631.209
36,1970.958,3183.958,125.583,513.917,11.708,3550.375,3983.166,5913.625,540.708,929.5,27.917,1758.542,0.25,1720.416,0.208,1637.666
37,1750.042,3191.167,125.75,522.542,11.708,3462.125,3867.917,5699.167,531.375,932.208,27.958,1742.875,0.25,1769.833,0.25,1630.75
38,1640.416,3146.125,125.75,526.708,11.709,3530.708,4031.875,5608.167,518.917,947.042,27.958,1782.958,0.25,1706.583,0.208,1588.667
39,1672.792,3436,125.667,521.917,11.709,3577.333,4047.25,6005.334,514.667,925.166,28.5,1753.625,0.25,1771.917,0.208,1633.917
40,1628.125,3231.166,130.125,546.709,11.709,3502.208,4036.917,5537.083,516.166,993.75,28,1734.166,0.209,1712.291,0.208,1618.5
41,1728.5,3086.25,125.625,518.958,11.75,3584.459,3985.125,5658,538.166,935.583,27.458,1756.833,0.25,1717.875,0.208,1587.458
42,1691.75,3222.083,125.625,521.542,11.708,3558.375,4078.583,5629.541,527.375,954.625,28.459,1735.958,0.208,1812.834,0.208,1653.125
43,1681,3086.208,125.792,529.375,11.709,3430.917,3915.208,5595.916,568.834,929.625,28,1735.458,0.25,1713.375,0.208,1593.292
44,1601.75,3116.458,125.667,525.042,11.708,3445.459,3935.542,5466.375,536.25,920.334,28.041,1735.333,0.25,1736.291,0.208,1622.959
45,1640.834,3275.542,125.958,517.083,11.708,3425.25,3966.333,5459.959,544.333,919,27.833,1736.041,0.25,1725.209,0.25,1624.667
46,1549.667,3325.292,125.917,523.542,11.708,3424.875,3907.167,5715.833,542,921.834,28.042,1752.666,0.208,1767.125,0.209,1592.959
47,1667.041,3360.75,125.792,536.917,11.875,3439.083,3947.542,5541.917,533.625,928.125,27.375,1770.542,0.208,1770.875,0.209,1643.333
48,1552.584,3355.75,125.75,518.791,12,3494.041,3904.083,5686.542,523.458,927.667,28,1816.959,0.208,1724,0.209,1613.5
49,1625,3241.333,125.792,517.083,11.666,3471.791,4097.625,5534.083,520.667,927.292,28.042,1784.541,0.209,1717.958,0.209,1665.833
50,1539.667,3188.25,125.584,534.041,11.708,3529,4033,5703.792,524.042,980.291,28.042,1736.917,0.25,1727.459,0.209,1633.584
51,1567.084,3137.083,125.75,528,11.709,3534.083,3930.417,5557.458,518.917,952.833,27.917,1773.375,0.25,1768.375,0.208,1590.125
52,1916.541,3123.834,139.916,518.583,11.708,3454.084,4137.5,5528.208,537.959,926.917,28.292,1760.25,0.25,1788.75,0.208,1642.125
53,1606.167,3361.084,125.959,525,11.709,3507.833,3916.542,5509.958,519.625,934.916,28.042,1734.333,0.208,1768.334,0.208,1628.791
54,1736.916,3203.333,125.625,517.417,11.708,3466.792,4001.458,5626.583,530.25,922.208,30.833,1740.792,0.208,1748.667,0.208,1627.541
55,1655.333,3186.875,129.208,520.291,11.708,3426.375,4024.916,5613.25,530.833,965.083,32.584,1734.208,0.208,1712.708,0.208,1632.75
56,1502.167,3130.75,125.792,517.292,11.666,3431.333,3868.209,5584.917,516.625,945.125,27.958,2022.667,0.25,1744.875,0.208,1587.584
57,1661.291,3131.375,125.666,525.583,11.625,3448.292,3956.125,5524.5,528.916,928.333,28.125,1741.833,0.25,1736.292,0.25,1673
58,1482.708,3456.208,133.166,513.791,11.667,3476.958,4343.417,5725.125,521.375,982.417,27.792,1769.25,0.209,1770.666,0.208,1632.542
59,1667.292,3089.333,125.5,528.958,11.667,3457.709,4009.958,5620.417,523.833,925.541,28.292,1764.542,0.209,1764.292,0.208,1606.375
60,1527.167,3237.709,125.625,530.583,11.709,3465.375,3879.375,5562,521.459,943,27.666,1760.167,0.209,1720.834,0.208,1638.667
61,1506.625,3113.708,125.5,513.916,11.667,3423.958,3883.334,5527.458,544.417,932.709,28.166,1785.875,0.25,1749.375,0.208,1593.5
62,1526.917,3138.708,142.792,514,11.708,3466.041,3963.75,5524.792,527.667,926.292,27.834,1754.333,0.25,1732.625,0.208,1677.458
63,1525.792,3525.917,129.209,519.333,11.792,3429.583,3999,5589.083,517.583,946.5,28.125,1778.708,0.25,1748.5,0.25,1626.292
64,1500.125,3140.458,133.833,520.875,11.709,3430.625,3918.958,5564.584,517.25,938.125,27.792,1737.667,0.208,1721.958,0.209,1594.458
65,1483.75,3163.208,129.167,513.916,17.958,3433.792,4091.542,5471.458,530.208,960.417,27.708,1742.625,0.25,1726.5,0.209,1709.583
66,1589.625,3082.25,137.459,542.208,11.708,3424.459,3885.959,5520.833,543.459,958.792,28.209,1772.917,0.25,1749.417,0.209,1584.958
67,1505.334,3163.959,125.666,524.208,11.709,3452.166,4254.166,5466.292,522.125,931.875,28.375,1810.75,0.25,1737.25,0.209,1603.791
68,1612.5,3078.291,129.042,522.791,11.708,3425.208,4034.958,5467.584,523.667,942.875,28.416,1767.75,0.25,1749.375,0.208,1645.709
69,1506.917,3163.041,125.708,518.292,11.667,3424.75,3900.333,5576.833,549.542,942.625,28.167,1771.334,0.209,1726.209,0.208,1590.417
70,1564.125,3135.125,125.792,533.75,11.667,3470.125,3971.083,5682.375,527.75,940.125,36.083,1748.292,0.209,1714.875,0.208,1591.375
71,1641.458,3115.583,130.125,532,11.75,3470.417,3905,5625.5,544.583,978.667,27.834,1735.333,0.209,1748.416,0.208,1597.708
72,1666.583,3388.666,125.708,526.042,11.75,3487.208,3878.5,5621.917,524.5,918.584,28.334,1734.916,0.25,1706.916,0.208,1619.083
